constrset,inst,index,x,y,valid
constr_1_0288,t1i1r10,22,24,20,1
constr_1_0288,t1i1r10,23,24,22,1
constr_1_0288,t1i1r10,24,24,24,1
constr_1_0288,t1i1r10,25,24,26,1
constr_1_0288,t1i1r10,26,24,28,1
constr_1_0288,t1i1r10,27,24,30,1
constr_1_0288,t1i1r10,28,24,32,1
constr_1_0288,t1i1r10,29,24,34,1
constr_1_0288,t1i1r10,30,24,36,1
constr_1_0288,t1i1r10,31,24,38,1
constr_1_0320,t1i1r11,0,24,40,1
constr_1_0320,t1i1r11,1,24,42,1
constr_1_0320,t1i1r11,2,24,44,1
constr_1_0320,t1i1r11,3,24,46,1
constr_1_0320,t1i1r11,4,24,48,1
constr_1_0320,t1i1r11,5,28,0,1
constr_1_0320,t1i1r11,6,28,2,1
constr_1_0320,t1i1r11,7,28,4,1
constr_1_0320,t1i1r11,8,28,6,1
constr_1_0320,t1i1r11,9,28,8,1
constr_1_0320,t1i1r11,10,28,10,1
constr_1_0320,t1i1r11,11,28,12,1
constr_1_0320,t1i1r11,12,28,14,1
constr_1_0320,t1i1r11,13,28,16,1
constr_1_0320,t1i1r11,14,28,18,1
constr_1_0320,t1i1r11,15,28,20,1
constr_1_0320,t1i1r11,16,28,22,1
constr_1_0320,t1i1r11,17,28,24,1
constr_1_0320,t1i1r11,18,28,26,1
constr_1_0320,t1i1r11,19,28,28,1
constr_1_0320,t1i1r11,20,28,30,1
constr_1_0320,t1i1r11,21,28,32,1
constr_1_0320,t1i1r11,22,28,34,1
constr_1_0320,t1i1r11,23,28,36,1
constr_1_0320,t1i1r11,24,28,38,1
constr_1_0320,t1i1r11,25,28,40,1
constr_1_0320,t1i1r11,26,28,42,1
constr_1_0320,t1i1r11,27,28,44,1
constr_1_0320,t1i1r11,28,28,46,1
constr_1_0320,t1i1r11,29,28,48,1
constr_1_0320,t1i1r11,30,30,0,1
constr_1_0320,t1i1r11,31,30,2,1
constr_1_0352,t1i1r12,0,30,4,1
constr_1_0352,t1i1r12,1,30,6,1
constr_1_0352,t1i1r12,2,30,8,1
constr_1_0352,t1i1r12,3,30,10,1
constr_1_0352,t1i1r12,4,30,12,1
constr_1_0352,t1i1r12,5,30,14,1
constr_1_0352,t1i1r12,6,30,16,1
constr_1_0352,t1i1r12,7,30,18,1
constr_1_0352,t1i1r12,8,30,20,1
constr_1_0352,t1i1r12,9,30,22,1
constr_1_0352,t1i1r12,10,30,24,1
constr_1_0352,t1i1r12,11,30,26,1
constr_1_0352,t1i1r12,12,30,28,1
constr_1_0352,t1i1r12,13,30,30,1
constr_1_0352,t1i1r12,14,30,32,1
constr_1_0352,t1i1r12,15,30,34,1
constr_1_0352,t1i1r12,16,30,36,1
constr_1_0352,t1i1r12,17,30,38,1
constr_1_0352,t1i1r12,18,30,40,1
constr_1_0352,t1i1r12,19,30,42,1
constr_1_0352,t1i1r12,20,30,44,1
constr_1_0352,t1i1r12,21,30,46,1
constr_1_0352,t1i1r12,22,30,48,1
constr_1_0352,t1i1r12,23,32,0,1
constr_1_0352,t1i1r12,24,32,2,1
constr_1_0352,t1i1r12,25,32,4,1
constr_1_0352,t1i1r12,26,32,6,1
constr_1_0352,t1i1r12,27,32,8,1
constr_1_0352,t1i1r12,28,32,10,1
constr_1_0352,t1i1r12,29,32,12,1
constr_1_0352,t1i1r12,30,32,14,1
constr_1_0352,t1i1r12,31,32,16,1
constr_1_0384,t1i1r13,0,32,18,1
constr_1_0384,t1i1r13,1,32,20,1
constr_1_0384,t1i1r13,2,32,22,1
constr_1_0384,t1i1r13,3,32,24,1
constr_1_0384,t1i1r13,4,32,26,1
constr_1_0384,t1i1r13,5,32,28,1
constr_1_0384,t1i1r13,6,32,30,1
constr_1_0384,t1i1r13,7,32,32,1
constr_1_0384,t1i1r13,8,32,34,1
constr_1_0384,t1i1r13,9,32,36,1
constr_1_0384,t1i1r13,10,32,38,1
constr_1_0384,t1i1r13,11,32,40,1
constr_1_0384,t1i1r13,12,32,42,1
constr_1_0384,t1i1r13,13,32,44,1
constr_1_0384,t1i1r13,14,32,46,1
constr_1_0384,t1i1r13,15,32,48,1
constr_1_0384,t1i1r13,16,34,0,1
constr_1_0384,t1i1r13,17,34,2,1
constr_1_0384,t1i1r13,18,34,4,1
constr_1_0384,t1i1r13,19,34,6,1
