constrset,inst,index,x,y,valid
constr_1_0224,t1i1r08,25,10,98,1
constr_1_0224,t1i1r08,26,12,0,1
constr_1_0224,t1i1r08,27,12,2,1
constr_1_0224,t1i1r08,28,12,4,1
constr_1_0224,t1i1r08,29,12,6,1
constr_1_0224,t1i1r08,30,12,8,1
constr_1_0224,t1i1r08,31,12,10,1
constr_1_0256,t1i1r09,0,12,12,1
constr_1_0256,t1i1r09,1,12,14,1
constr_1_0256,t1i1r09,2,12,16,1
constr_1_0256,t1i1r09,3,12,18,1
constr_1_0256,t1i1r09,4,12,20,1
constr_1_0256,t1i1r09,5,12,22,1
constr_1_0256,t1i1r09,6,12,24,1
constr_1_0256,t1i1r09,7,12,26,1
constr_1_0256,t1i1r09,8,12,28,1
constr_1_0256,t1i1r09,9,12,30,1
constr_1_0256,t1i1r09,10,12,32,1
constr_1_0256,t1i1r09,11,12,34,1
constr_1_0256,t1i1r09,12,12,36,1
constr_1_0256,t1i1r09,13,12,38,1
constr_1_0256,t1i1r09,14,12,40,1
constr_1_0256,t1i1r09,15,12,42,1
constr_1_0256,t1i1r09,16,12,44,1
constr_1_0256,t1i1r09,17,12,46,1
constr_1_0256,t1i1r09,18,12,48,1
constr_1_0256,t1i1r09,19,12,50,1
constr_1_0256,t1i1r09,20,12,52,1
constr_1_0256,t1i1r09,21,12,54,1
constr_1_0256,t1i1r09,22,12,56,1
constr_1_0256,t1i1r09,23,12,58,1
constr_1_0256,t1i1r09,24,12,60,1
constr_1_0256,t1i1r09,25,12,62,1
constr_1_0256,t1i1r09,26,12,64,1
constr_1_0256,t1i1r09,27,12,66,1
constr_1_0256,t1i1r09,28,12,68,1
constr_1_0256,t1i1r09,29,12,70,1
constr_1_0256,t1i1r09,30,12,72,1
constr_1_0256,t1i1r09,31,12,74,1
constr_1_0288,t1i1r10,0,12,76,1
constr_1_0288,t1i1r10,1,12,78,1
constr_1_0288,t1i1r10,2,12,80,1
constr_1_0288,t1i1r10,3,12,82,1
constr_1_0288,t1i1r10,4,12,84,1
constr_1_0288,t1i1r10,5,12,86,1
constr_1_0288,t1i1r10,6,12,88,1
constr_1_0288,t1i1r10,7,12,90,1
